,Director_Avg_Movie_Revenue,Keywords_Avg_Revenue,Studios_Avg_Movie_Revenue,Lead_Actor_Avg_Movie_Revenue,Budget,Class
0,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
1,314035182.495,218697005.91000003,310095739.475,266429178.43,105500000.0,1
2,314035182.495,218697005.91000003,310095739.475,272686501.69,105500000.0,1
3,314035182.495,184061201.83,256171936.79,293582292.5,105500000.0,1
4,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
5,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
6,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
7,314035182.495,218697005.91000003,310095739.475,176706475.12,105500000.0,1
8,314035182.495,218697005.91000003,290445953.88,338393100.125,105500000.0,1
9,314035182.495,218697005.91000003,310095739.475,266429178.43,105500000.0,1
10,314035182.495,63993016.94,173248472.02,266429178.43,105500000.0,0
11,314035182.495,218697005.91000003,310095739.475,262618070.0,105500000.0,1
12,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
13,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
14,314035182.495,218697005.91000003,310095739.475,266429178.43,105500000.0,1
15,313205533.86,218697005.91000003,300704003.52,338393100.125,105500000.0,1
16,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
17,201185312.0,218697005.91000003,149369191.57,184696592.55,105500000.0,1
18,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
19,263860916.4,191835090.96,269934231.69,338393100.125,105500000.0,1
20,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
21,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
22,208970653.17,207250624.35,223120423.85,293582292.5,105500000.0,1
23,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
24,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
25,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
26,238387017.21,218697005.91000003,307384890.16,338393100.125,105500000.0,1
27,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
28,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
29,314035182.495,218697005.91000003,310095739.475,173730021.79,105500000.0,1
30,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
31,314035182.495,210481983.91,310095739.475,338393100.125,105500000.0,1
32,314035182.495,203770753.97,310095739.475,145605792.33,105500000.0,1
33,165640723.8,218697005.91000003,228238387.98,240457146.67,105500000.0,1
34,314035182.495,218697005.91000003,310095739.475,313041883.04,105500000.0,1
35,191292042.33,218697005.91000003,197158016.4,272686501.69,105500000.0,1
36,314035182.495,218697005.91000003,310095739.475,338393100.125,105500000.0,1
37,137166369.5,218697005.91000003,310095739.475,193873456.07,105500000.0,1
38,314035182.495,218697005.91000003,310095739.475,315569059.75,105500000.0,1
39,314035182.495,218697005.91000003,288449500.88,267684562.5,105500000.0,1
40,314035182.495,206211235.36,214655788.02,157334132.5,105500000.0,1
